年	月	日	時	分	縣市	行政區	allLocation	GoogleLat	GoogleLng	死	2-30	受傷	當事人數	天候	道路照明設備	道路類別	道路型態	事故位置	路面狀況1	路面狀況2	路面狀況3	道路障礙1	道路障礙2	號誌1	號誌2	車道劃分-分向	車道劃分-分道1	車道劃分-分道2	車道劃分-分道3	事故類型及型態	行動電話	當事者行動狀態	駕駛資格情形	保護裝置	飲酒情形	駕駛執照種類	個人肇逃否	肇因碼-主要	性別	受傷程度	車輛撞擊部位1	車輛撞擊部位2
113	1	1	0	22	臺北市	信義區	信義區基隆路1段147巷5弄11號	25.0430901	121.5664082	0	0	1	2	8	5	5	14	9	1	5	4	5	13	4	4	8	3	5	2	2	4	9	1	3	1	10	1		1	3	11	
113	1	1	0	36	臺北市	中正區	中正區信義路2段與信義路2段181巷口	25.0339234	121.529308	0	0	1	2	8	5	5	3	1	1	5	4	5	13	4	4	1	4	5	2	16	1	5	1	7	2	8	1		1	3	8	
113	1	1	0	45	臺北市	松山區	松山區八德路4段389巷與南京東路5段250巷18弄口	25.05019877	121.5683191	0	0	1	2	7	5	5	3	2	1	5	4	5	13	4	4	10	5	5	2	9	5	16	8	4	10	20	1		1	2	16	
113	1	1	2	10	臺北市	松山區	松山區光復南路71號	25.0453435	121.5578666	0	0	1	2	7	5	5	4	18	1	5	4	5	13	2	1	1	3	4	1	1	1	9	1	5	1	10	1		1	3	11	
113	1	1	2	27	臺北市	大安區	大安區復興南路2段362號	25.0218279	121.5433387	0	0	1	2	8	5	5	14	9	1	5	4	5	13	4	4	1	5	5	1	3	5	16	8	4	10	20	1		1	2	16	
113	1	1	2	50	臺北市	松山區	松山區塔悠路(撫遠街423號對面)	25.06766237	121.5682514	0	0	3	3	7	5	5	14	8	1	5	4	5	13	4	4	1	4	4	2	9	1	9	1	6	2	10	1		1	2	11	
113	1	1	3	45	臺北市	中山區	中山區中山北路1段21號	25.04863582	121.5211745	0	0	1	2	8	5	5	14	9	1	5	4	5	13	4	4	9	4	5	2	17	1	9	1	5	1	10	1		1	2	11	
113	1	1	5	3	臺北市	中正區	中正區羅斯福路4段與基隆路4段口	25.011445	121.5368368	0	0	2	3	8	5	5	4	1	1	5	4	5	13	1	1	1	4	5	2	16	1	6	1	7	2	4	1		1	3	6	
113	1	1	7	12	臺北市	大同區	大同區延平北路2段144巷與延平北路2段口	25.0576205	121.511493	0	0	1	6	8	5	5	4	1	1	5	4	5	13	4	4	5	4	5	2	16	1	9	1	7	2	8	1		1	3	1	
113	1	1	8	20	臺北市	士林區	士林區仰德大道1段與至誠路1段口	25.10092604	121.5376261	0	0	5	5	7	6	5	5	2	1	5	4	5	13	2	1	5	4	5	2	17	1	9	1	6	1	10	1		1	2	11	
113	1	1	9	58	臺北市	中山區	中山區民權東路2段35號	25.0627875	121.5295245	0	0	1	3	8	5	5	14	9	1	5	4	5	13	4	4	1	4	5	2	13	4	9	1	3	9	10	1		2	2	11	
113	1	1	10	4	臺北市	中山區	中山區南京東路1段與天津街口	25.05208094	121.5235373	0	0	1	3	8	6	5	3	2	1	5	4	5	13	4	4	3	5	5	2	13	1	9	1	5	1	10	1		1	3	11	14
113	1	1	10	31	臺北市	北投區	北投區泉源路與行義路口	25.14401946	121.5267645	0	0	1	3	7	7	5	4	2	1	5	4	5	13	1	1	4	5	5	2	17	1	6	1	5	1	10	1		2	2	15	
113	1	1	10	42	臺北市	文山區	文山區木柵路4段與和平東路4段口	24.9981882	121.574673	0	0	1	3	8	7	5	3	1	1	5	4	5	13	1	1	5	4	5	2	15	1	9	1	5	1	10	1		1	3	11	
113	1	1	11	22	臺北市	松山區	松山區民權東路5段1號與民權東路5段口旁無名巷	25.0631636	121.5648174	0	0	2	2	7	6	5	3	1	1	5	4	5	13	2	1	1	4	5	2	15	1	9	3	5	1	18	1		2	2	14	
113	1	1	11	43	臺北市	萬華區	萬華區環河南路1段與漢口街2段口	25.04674654	121.5039224	0	0	1	3	7	6	5	3	2	1	5	4	5	13	4	4	5	4	5	1	17	4	9	1	3	1	10	1		1	2	14	
113	1	1	11	43	臺北市	萬華區	萬華區萬大路與東園街口	25.0217013	121.4985552	0	0	1	2	8	7	5	4	2	1	5	4	5	13	1	1	9	5	5	1	12	1	9	1	5	1	10	1		1	3	14	
